"ES"	"p_val"	"hits"	"hits_n"	"path"
"Canonical and non canonical TGF B signaling"	-Inf	1	"NA"	0	"Canonical and non canonical TGF B signaling"
"ATR signaling"	-Inf	1	"NA"	0	"ATR signaling"
"BMP2 WNT4 FOXO1 pathway in primary endometrial stromal cell differentiation"	-Inf	1	"NA"	0	"BMP2 WNT4 FOXO1 pathway in primary endometrial stromal cell differentiation"
"MYD88 distinct input output pathway"	-Inf	1	"NA"	0	"MYD88 distinct input output pathway"
"ATM signaling in development and disease "	-Inf	1	"NA"	0	"ATM signaling in development and disease "
"4 hydroxytamoxifen dexamethasone and retinoic acids regulation of p27 expression"	-Inf	1	"NA"	0	"4 hydroxytamoxifen dexamethasone and retinoic acids regulation of p27 expression"
"VEGFA VEGFR2 signaling"	-Inf	0.628778323174741	"NA"	0	"VEGFA VEGFR2 signaling"
"Nanomaterial induced inflammasome activation"	-Inf	1	"NA"	0	"Nanomaterial induced inflammasome activation"
"Benzene metabolism"	-Inf	1	"NA"	0	"Benzene metabolism"
"Development of pulmonary dendritic cells and macrophage subsets"	-Inf	1	"NA"	0	"Development of pulmonary dendritic cells and macrophage subsets"
"Development and heterogeneity of the ILC family"	-Inf	1	"NA"	0	"Development and heterogeneity of the ILC family"
"Dengue 2 interactions with complement and coagulation cascades"	-Inf	1	"NA"	0	"Dengue 2 interactions with complement and coagulation cascades"
"Mitochondrial gene expression"	-Inf	1	"NA"	0	"Mitochondrial gene expression"
"Angiopoietin like protein 8 regulatory pathway"	1.56551507231099	0.260771293056524	"5289"	1	"Angiopoietin like protein 8 regulatory pathway"
"Hfe effect on hepcidin production"	-Inf	1	"NA"	0	"Hfe effect on hepcidin production"
"Amino acid metabolism"	-Inf	1	"NA"	0	"Amino acid metabolism"
"ApoE and miR 146 in inflammation and atherosclerosis"	-Inf	1	"NA"	0	"ApoE and miR 146 in inflammation and atherosclerosis"
"BMP signaling in eyelid development"	-Inf	1	"NA"	0	"BMP signaling in eyelid development"
"Chemokine signaling pathway"	-Inf	1	"NA"	0	"Chemokine signaling pathway"
"EDA signaling in hair follicle development"	-Inf	1	"NA"	0	"EDA signaling in hair follicle development"
"Embryonic stem cell pluripotency pathways"	-Inf	1	"NA"	0	"Embryonic stem cell pluripotency pathways"
"Focal adhesion PI3K Akt mTOR signaling pathway"	-Inf	1	"NA"	0	"Focal adhesion PI3K Akt mTOR signaling pathway"
"Kennedy pathway from sphingolipids"	-Inf	1	"NA"	0	"Kennedy pathway from sphingolipids"
"Leptin and adiponectin"	-Inf	1	"NA"	0	"Leptin and adiponectin"
"Leptin insulin signaling overlap"	-Inf	1	"NA"	0	"Leptin insulin signaling overlap"
"Microglia pathogen phagocytosis pathway"	3.33892266244526	0.0774233235965678	"5289"	1	"Microglia pathogen phagocytosis pathway"
"miR 222 in exercise induced cardiac growth"	-Inf	1	"NA"	0	"miR 222 in exercise induced cardiac growth"
"One carbon metabolism and related pathways"	-Inf	1	"NA"	0	"One carbon metabolism and related pathways"
"Oxidative damage response"	-Inf	1	"NA"	0	"Oxidative damage response"
"PPAR signaling pathway"	2.28945398618096	0.139067866895211	"364"	1	"PPAR signaling pathway"
"Robo4 and VEGF signaling pathways crosstalk"	-Inf	1	"NA"	0	"Robo4 and VEGF signaling pathways crosstalk"
"Serotonin and anxiety related events"	5.1802249164262	0.0272395844420044	"23237"	1	"Serotonin and anxiety related events"
"TYROBP causal network in microglia"	-Inf	1	"NA"	0	"TYROBP causal network in microglia"
"Serotonin and anxiety"	4.59526241570504	0.0339345726573569	"23237"	1	"Serotonin and anxiety"
"IL 4 signaling pathway"	-Inf	1	"NA"	0	"IL 4 signaling pathway"
"mRNA protein and metabolite inducation pathway by cyclosporin A"	-Inf	1	"NA"	0	"mRNA protein and metabolite inducation pathway by cyclosporin A"
"GPR40 pathway"	-Inf	1	"NA"	0	"GPR40 pathway"
"DNA IR double strand breaks and cellular response via ATM"	-Inf	1	"NA"	0	"DNA IR double strand breaks and cellular response via ATM"
"Mevalonate pathway"	-Inf	1	"NA"	0	"Mevalonate pathway"
"Lipid metabolism pathway"	-Inf	1	"NA"	0	"Lipid metabolism pathway"
"miR 509 3p alteration of YAP1 ECM axis"	-Inf	1	"NA"	0	"miR 509 3p alteration of YAP1 ECM axis"
"H19 action Rb E2F1 signaling and CDK Beta catenin activity"	-Inf	1	"NA"	0	"H19 action Rb E2F1 signaling and CDK Beta catenin activity"
"OSX and miRNAs in tooth development"	-Inf	1	"NA"	0	"OSX and miRNAs in tooth development"
"PDGFR beta pathway"	-Inf	1	"NA"	0	"PDGFR beta pathway"
"miRNA regulation of prostate cancer signaling pathways"	-Inf	1	"NA"	0	"miRNA regulation of prostate cancer signaling pathways"
"miRNA regulation of p53 pathway in prostate cancer"	-Inf	1	"NA"	0	"miRNA regulation of p53 pathway in prostate cancer"
"Wnt signaling pathway and pluripotency"	2.07868688996414	0.205876490104851	"85407"	1	"Wnt signaling pathway and pluripotency"
"Prion disease pathway"	-Inf	1	"NA"	0	"Prion disease pathway"
"Ethanol effects on histone modifications"	-Inf	1	"NA"	0	"Ethanol effects on histone modifications"
"Prader Willi and Angelman syndrome"	-Inf	1	"NA"	0	"Prader Willi and Angelman syndrome"
"p38 MAPK signaling pathway"	-Inf	1	"NA"	0	"p38 MAPK signaling pathway"
"NO cGMP PKG mediated neuroprotection"	-Inf	1	"NA"	0	"NO cGMP PKG mediated neuroprotection"
"DNA IR damage and cellular response via ATR"	-Inf	1	"NA"	0	"DNA IR damage and cellular response via ATR"
"Clear cell renal cell carcinoma pathways"	-Inf	1	"NA"	0	"Clear cell renal cell carcinoma pathways"
"SCFA and skeletal muscle substrate metabolism"	-Inf	1	"NA"	0	"SCFA and skeletal muscle substrate metabolism"
"Eukaryotic transcription initiation"	3.37286999436859	0.0921845073031527	"25885"	1	"Eukaryotic transcription initiation"
"Oxidative stress response"	-Inf	1	"NA"	0	"Oxidative stress response"
"Exercise induced circadian regulation"	-Inf	1	"NA"	0	"Exercise induced circadian regulation"
"mRNA processing"	-Inf	1	"NA"	0	"mRNA processing"
"Fibrin complement receptor 3 signaling pathway"	-Inf	1	"NA"	0	"Fibrin complement receptor 3 signaling pathway"
"PI3K AKT mTOR vitamin D3 signaling"	-Inf	1	"NA"	0	"PI3K AKT mTOR vitamin D3 signaling"
"Metabolism of sphingolipids in ER and Golgi apparatus"	-Inf	1	"NA"	0	"Metabolism of sphingolipids in ER and Golgi apparatus"
"Macrophage markers"	-Inf	1	"NA"	0	"Macrophage markers"
"PTF1A related regulatory pathway"	-Inf	1	"NA"	0	"PTF1A related regulatory pathway"
"Splicing factor NOVA regulated synaptic proteins"	-Inf	1	"NA"	0	"Splicing factor NOVA regulated synaptic proteins"
"White fat cell differentiation"	-Inf	1	"NA"	0	"White fat cell differentiation"
"Wnt signaling in kidney disease"	-Inf	1	"NA"	0	"Wnt signaling in kidney disease"
"Degradation pathway of sphingolipids including diseases"	-Inf	1	"NA"	0	"Degradation pathway of sphingolipids including diseases"
"Endometrial cancer"	-Inf	1	"NA"	0	"Endometrial cancer"
"Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine"	-Inf	1	"NA"	0	"Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine"
"GABA metabolism aka GHB "	-Inf	1	"NA"	0	"GABA metabolism aka GHB "
"GABA receptor signaling"	-Inf	1	"NA"	0	"GABA receptor signaling"
"PI3K Akt signaling pathway"	-Inf	1	"NA"	0	"PI3K Akt signaling pathway"
"Metabolism of tetrahydrocannabinol THC "	-Inf	1	"NA"	0	"Metabolism of tetrahydrocannabinol THC "
"Somatroph axis GH and its relationship to dietary restriction and aging"	-Inf	1	"NA"	0	"Somatroph axis GH and its relationship to dietary restriction and aging"
"Mevalonate arm of cholesterol biosynthesis pathway with inhibitors"	-Inf	1	"NA"	0	"Mevalonate arm of cholesterol biosynthesis pathway with inhibitors"
"Mevalonate arm of cholesterol biosynthesis pathway"	-Inf	1	"NA"	0	"Mevalonate arm of cholesterol biosynthesis pathway"
"Caloric restriction and aging"	-Inf	1	"NA"	0	"Caloric restriction and aging"
"Hormonal control of pubertal growth spurt"	-Inf	1	"NA"	0	"Hormonal control of pubertal growth spurt"
"Immune response to tuberculosis"	-Inf	1	"NA"	0	"Immune response to tuberculosis"
"Tumor suppressor activity of SMARCB1"	-Inf	1	"NA"	0	"Tumor suppressor activity of SMARCB1"
"MET in type 1 papillary renal cell carcinoma"	-Inf	1	"NA"	0	"MET in type 1 papillary renal cell carcinoma"
"Hereditary leiomyomatosis and renal cell carcinoma pathway"	-Inf	1	"NA"	0	"Hereditary leiomyomatosis and renal cell carcinoma pathway"
"Tryptophan catabolism leading to NAD production"	-Inf	1	"NA"	0	"Tryptophan catabolism leading to NAD production"
"Transcriptional cascade regulating adipogenesis"	-Inf	1	"NA"	0	"Transcriptional cascade regulating adipogenesis"
"Chromosomal and microsatellite instability in colorectal cancer "	-Inf	1	"NA"	0	"Chromosomal and microsatellite instability in colorectal cancer "
"Ebola virus infection in host"	-Inf	1	"NA"	0	"Ebola virus infection in host"
"MAPK cascade"	-Inf	1	"NA"	0	"MAPK cascade"
"Neurotransmitter disorders"	-Inf	1	"NA"	0	"Neurotransmitter disorders"
"Phosphodiesterases in neuronal function"	-Inf	1	"NA"	0	"Phosphodiesterases in neuronal function"
"Ras signaling"	1.16527457496023	0.341542129458334	"8399"	1	"Ras signaling"
"Purine metabolism and related disorders"	-Inf	1	"NA"	0	"Purine metabolism and related disorders"
"Pyrimidine metabolism and related diseases"	-Inf	1	"NA"	0	"Pyrimidine metabolism and related diseases"
"Vitamin B6 dependent and responsive disorders"	-Inf	1	"NA"	0	"Vitamin B6 dependent and responsive disorders"
"Acrylamide biotransformation and exposure biomarkers"	-Inf	1	"NA"	0	"Acrylamide biotransformation and exposure biomarkers"
"Krebs cycle disorders"	-Inf	1	"NA"	0	"Krebs cycle disorders"
"Flavan 3 ol metabolic pathway"	-Inf	1	"NA"	0	"Flavan 3 ol metabolic pathway"
"Epithelial to mesenchymal transition in colorectal cancer"	-Inf	1	"NA"	0	"Epithelial to mesenchymal transition in colorectal cancer"
"Regulation of sister chromatid separation at the metaphase anaphase transition"	-Inf	1	"NA"	0	"Regulation of sister chromatid separation at the metaphase anaphase transition"
"Type 2 papillary renal cell carcinoma"	-Inf	1	"NA"	0	"Type 2 papillary renal cell carcinoma"
"Hedgehog signaling pathway"	2.37286999436859	0.0984393475511787	"3549"	1	"Hedgehog signaling pathway"
"Non small cell lung cancer"	-Inf	1	"NA"	0	"Non small cell lung cancer"
"lncRNA in canonical Wnt signaling and colorectal cancer"	2.10697593439556	0.194797506304172	"85407"	1	"lncRNA in canonical Wnt signaling and colorectal cancer"
"Disorders of folate metabolism and transport"	-Inf	1	"NA"	0	"Disorders of folate metabolism and transport"
"Breast cancer pathway"	-Inf	1	"NA"	0	"Breast cancer pathway"
"Pancreatic adenocarcinoma pathway"	-Inf	1	"NA"	0	"Pancreatic adenocarcinoma pathway"
"Ethanol metabolism production of ROS by CYP2E1"	-Inf	1	"NA"	0	"Ethanol metabolism production of ROS by CYP2E1"
"Vitamin B12 disorders"	-Inf	1	"NA"	0	"Vitamin B12 disorders"
"Wnt signaling"	1.57536285826734	0.224009003639265	"85407"	1	"Wnt signaling"
"Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer"	-Inf	1	"NA"	0	"Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer"
"MTHFR deficiency"	-Inf	1	"NA"	0	"MTHFR deficiency"
"Metabolic reprogramming in colon cancer"	-Inf	1	"NA"	0	"Metabolic reprogramming in colon cancer"
"Methionine metabolism leading to sulfur amino acids and related disorders"	-Inf	1	"NA"	0	"Methionine metabolism leading to sulfur amino acids and related disorders"
"Thiamine metabolic pathways"	-Inf	1	"NA"	0	"Thiamine metabolic pathways"
"Acute viral myocarditis"	-Inf	1	"NA"	0	"Acute viral myocarditis"
"Lamin A processing pathway"	-Inf	1	"NA"	0	"Lamin A processing pathway"
"Oxidation by cytochrome P450"	-Inf	1	"NA"	0	"Oxidation by cytochrome P450"
"Statin inhibition of cholesterol production"	3.76518741714735	0.0688825729483159	"64714"	1	"Statin inhibition of cholesterol production"
"Extracellular vesicles in the crosstalk of cardiac cells"	-Inf	1	"NA"	0	"Extracellular vesicles in the crosstalk of cardiac cells"
"Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells"	-Inf	1	"NA"	0	"Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells"
"Oligodendrocyte specification and differentiation leading to myelin components for CNS"	-Inf	1	"NA"	0	"Oligodendrocyte specification and differentiation leading to myelin components for CNS"
"Rett syndrome"	-Inf	1	"NA"	0	"Rett syndrome"
"Ferroptosis"	-Inf	1	"NA"	0	"Ferroptosis"
"miRNA degrading enzymes"	-Inf	1	"NA"	0	"miRNA degrading enzymes"
"Mitochondrial fatty acid synthesis pathway"	-Inf	1	"NA"	0	"Mitochondrial fatty acid synthesis pathway"
"Effect of progerin on genes involved in progeria"	-Inf	1	"NA"	0	"Effect of progerin on genes involved in progeria"
"Thermogenesis"	-Inf	1	"NA"	0	"Thermogenesis"
"Mitochondrial complex I assembly model OXPHOS system"	-Inf	1	"NA"	0	"Mitochondrial complex I assembly model OXPHOS system"
"miRNA role in immune response in sepsis"	-Inf	1	"NA"	0	"miRNA role in immune response in sepsis"
"Neovascularization processes"	-Inf	1	"NA"	0	"Neovascularization processes"
"ncRNAs involved in Wnt signaling in hepatocellular carcinoma"	2.28945398618096	0.175993568893488	"85407"	1	"ncRNAs involved in Wnt signaling in hepatocellular carcinoma"
"ncRNAs involved in STAT3 signaling in hepatocellular carcinoma"	-Inf	1	"NA"	0	"ncRNAs involved in STAT3 signaling in hepatocellular carcinoma"
"Non genomic actions of 1 25 dihydroxyvitamin D3"	-Inf	1	"NA"	0	"Non genomic actions of 1 25 dihydroxyvitamin D3"
"Vitamins A and D action mechanisms"	-Inf	1	"NA"	0	"Vitamins A and D action mechanisms"
"Ciliary landscape"	-Inf	1	"NA"	0	"Ciliary landscape"
"NRF2 ARE regulation"	-Inf	1	"NA"	0	"NRF2 ARE regulation"
"EGF EGFR signaling pathway"	-Inf	1	"NA"	0	"EGF EGFR signaling pathway"
"Non homologous end joining"	-Inf	1	"NA"	0	"Non homologous end joining"
"Bile acids synthesis and enterohepatic circulation "	-Inf	1	"NA"	0	"Bile acids synthesis and enterohepatic circulation "
"Nonalcoholic fatty liver disease"	1.52678267782228	0.284321630028589	"56901"	1	"Nonalcoholic fatty liver disease"
"Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors"	-Inf	1	"NA"	0	"Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors"
"MicroRNA network associated with chronic lymphocytic leukemia"	-Inf	1	"NA"	0	"MicroRNA network associated with chronic lymphocytic leukemia"
"FABP4 in ovarian cancer"	-Inf	1	"NA"	0	"FABP4 in ovarian cancer"
"Platelet mediated interactions with vascular and circulating cells"	-Inf	1	"NA"	0	"Platelet mediated interactions with vascular and circulating cells"
"LTF danger signal response pathway"	-Inf	1	"NA"	0	"LTF danger signal response pathway"
"Supression of HMGB1 mediated inflammation by THBD"	-Inf	1	"NA"	0	"Supression of HMGB1 mediated inflammation by THBD"
"Altered glycosylation of MUC1 in tumor microenvironment"	-Inf	1	"NA"	0	"Altered glycosylation of MUC1 in tumor microenvironment"
"Resistin as a regulator of inflammation"	-Inf	1	"NA"	0	"Resistin as a regulator of inflammation"
"Vitamin D in inflammatory diseases"	-Inf	1	"NA"	0	"Vitamin D in inflammatory diseases"
"Relationship between inflammation COX 2 and EGFR"	-Inf	1	"NA"	0	"Relationship between inflammation COX 2 and EGFR"
"Control of immune tolerance by vasoactive intestinal peptide"	-Inf	1	"NA"	0	"Control of immune tolerance by vasoactive intestinal peptide"
"Cells and molecules involved in local acute inflammatory response "	-Inf	1	"NA"	0	"Cells and molecules involved in local acute inflammatory response "
"Selective expression of chemokine receptors during T cell polarization"	-Inf	1	"NA"	0	"Selective expression of chemokine receptors during T cell polarization"
"IL 10 anti inflammatory signaling pathway "	-Inf	1	"NA"	0	"IL 10 anti inflammatory signaling pathway "
"Signal transduction through IL1R"	-Inf	1	"NA"	0	"Signal transduction through IL1R"
"G1 to S cell cycle control"	-Inf	1	"NA"	0	"G1 to S cell cycle control"
"Cysteine and methionine catabolism"	-Inf	1	"NA"	0	"Cysteine and methionine catabolism"
"Tyrosine metabolism and related disorders"	-Inf	1	"NA"	0	"Tyrosine metabolism and related disorders"
"Molybdenum cofactor Moco biosynthesis"	-Inf	1	"NA"	0	"Molybdenum cofactor Moco biosynthesis"
"Gamma glutamyl cycle for the biosynthesis and degradation of glutathione including diseases"	-Inf	1	"NA"	0	"Gamma glutamyl cycle for the biosynthesis and degradation of glutathione including diseases"
"Cerebral organic acidurias including diseases"	-Inf	1	"NA"	0	"Cerebral organic acidurias including diseases"
"Glycosylation and related congenital defects"	-Inf	1	"NA"	0	"Glycosylation and related congenital defects"
"Metabolic pathway of LDL HDL and TG including diseases"	-Inf	1	"NA"	0	"Metabolic pathway of LDL HDL and TG including diseases"
"Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism"	-Inf	1	"NA"	0	"Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism"
"Alternative pathway of fetal androgen synthesis"	-Inf	1	"NA"	0	"Alternative pathway of fetal androgen synthesis"
"Inflammatory response pathway"	-Inf	1	"NA"	0	"Inflammatory response pathway"
"Intraflagellar transport proteins binding to dynein"	-Inf	1	"NA"	0	"Intraflagellar transport proteins binding to dynein"
"Transcription co factors SKI and SKIL protein partners"	-Inf	1	"NA"	0	"Transcription co factors SKI and SKIL protein partners"
"Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms"	-Inf	1	"NA"	0	"Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms"
"Envelope proteins and their potential roles in EDMD physiopathology"	-Inf	1	"NA"	0	"Envelope proteins and their potential roles in EDMD physiopathology"
"Genes related to primary cilium development based on CRISPR "	-Inf	1	"NA"	0	"Genes related to primary cilium development based on CRISPR "
"Hippo YAP signaling"	-Inf	1	"NA"	0	"Hippo YAP signaling"
"Regulatory circuits of the STAT3 signaling pathway"	-Inf	1	"NA"	0	"Regulatory circuits of the STAT3 signaling pathway"
"Synaptic signaling pathways associated with autism spectrum disorder"	3.12133122737263	0.106713202498497	"23237"	1	"Synaptic signaling pathways associated with autism spectrum disorder"
"Hippo signaling regulation pathways"	-Inf	1	"NA"	0	"Hippo signaling regulation pathways"
"Hippo Merlin signaling dysregulation"	-Inf	1	"NA"	0	"Hippo Merlin signaling dysregulation"
"Leukocyte intrinsic Hippo pathway functions"	-Inf	1	"NA"	0	"Leukocyte intrinsic Hippo pathway functions"
"Oxysterols derived from cholesterol"	-Inf	1	"NA"	0	"Oxysterols derived from cholesterol"
"Fragile X syndrome"	1.40763541252927	0.238221104946549	"23237"	1	"Fragile X syndrome"
"GPCRs class A rhodopsin like"	-Inf	1	"NA"	0	"GPCRs class A rhodopsin like"
"FBXL10 enhancement of MAP ERK signaling in diffuse large B cell lymphoma"	-Inf	1	"NA"	0	"FBXL10 enhancement of MAP ERK signaling in diffuse large B cell lymphoma"
"Overview of interferons mediated signaling pathway"	-Inf	1	"NA"	0	"Overview of interferons mediated signaling pathway"
"Interactions between immune cells and microRNAs in tumor microenvironment"	-Inf	1	"NA"	0	"Interactions between immune cells and microRNAs in tumor microenvironment"
"MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement"	-Inf	1	"NA"	0	"MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement"
"Cell migration and invasion through p75NTR"	-Inf	1	"NA"	0	"Cell migration and invasion through p75NTR"
"Canonical NF kB pathway"	-Inf	1	"NA"	0	"Canonical NF kB pathway"
"Neural crest cell migration during development"	-Inf	1	"NA"	0	"Neural crest cell migration during development"
"Neural crest cell migration in cancer"	-Inf	1	"NA"	0	"Neural crest cell migration in cancer"
"Translation inhibitors in chronically activated PDGFRA cells"	-Inf	1	"NA"	0	"Translation inhibitors in chronically activated PDGFRA cells"
"Urea cycle and related diseases"	-Inf	1	"NA"	0	"Urea cycle and related diseases"
"Neurodegeneration with brain iron accumulation NBIA subtypes pathway"	2.90720642201978	0.0963591277627128	"5289"	1	"Neurodegeneration with brain iron accumulation NBIA subtypes pathway"
"Cancer immunotherapy by CTLA4 blockade"	-Inf	1	"NA"	0	"Cancer immunotherapy by CTLA4 blockade"
"Biomarkers for urea cycle disorders"	-Inf	1	"NA"	0	"Biomarkers for urea cycle disorders"
"Biomarkers for pyrimidine metabolism disorders"	-Inf	1	"NA"	0	"Biomarkers for pyrimidine metabolism disorders"
"Cancer immunotherapy by PD 1 blockade"	-Inf	1	"NA"	0	"Cancer immunotherapy by PD 1 blockade"
"Metabolism of alpha linolenic acid"	-Inf	1	"NA"	0	"Metabolism of alpha linolenic acid"
"Major receptors targeted by epinephrine and norepinephrine"	-Inf	1	"NA"	0	"Major receptors targeted by epinephrine and norepinephrine"
"Urea cycle and associated pathways"	-Inf	1	"NA"	0	"Urea cycle and associated pathways"
"Aerobic glycolysis"	-Inf	1	"NA"	0	"Aerobic glycolysis"
"Measles virus infection"	-Inf	1	"NA"	0	"Measles virus infection"
"Tryptophan metabolism"	-Inf	1	"NA"	0	"Tryptophan metabolism"
"Cytosolic DNA sensing pathway"	-Inf	1	"NA"	0	"Cytosolic DNA sensing pathway"
"Joubert syndrome"	-Inf	1	"NA"	0	"Joubert syndrome"
"22q11 2 copy number variation syndrome"	-Inf	1	"NA"	0	"22q11 2 copy number variation syndrome"
"Small cell lung cancer"	-Inf	1	"NA"	0	"Small cell lung cancer"
"Gastrin signaling pathway"	-Inf	1	"NA"	0	"Gastrin signaling pathway"
"DNA replication"	-Inf	1	"NA"	0	"DNA replication"
"Amino acid metabolism pathway excerpt histidine catabolism extension"	-Inf	1	"NA"	0	"Amino acid metabolism pathway excerpt histidine catabolism extension"
"Hepatitis B infection"	-Inf	1	"NA"	0	"Hepatitis B infection"
"Male infertility"	-Inf	1	"NA"	0	"Male infertility"
"Head and neck squamous cell carcinoma"	-Inf	1	"NA"	0	"Head and neck squamous cell carcinoma"
"Melanoma"	-Inf	1	"NA"	0	"Melanoma"
"Leucine isoleucine and valine metabolism"	-Inf	1	"NA"	0	"Leucine isoleucine and valine metabolism"
"Serine metabolism"	-Inf	1	"NA"	0	"Serine metabolism"
"Vitamin D sensitive calcium signaling in depression"	-Inf	1	"NA"	0	"Vitamin D sensitive calcium signaling in depression"
"Pathways of nucleic acid metabolism and innate immune sensing"	-Inf	1	"NA"	0	"Pathways of nucleic acid metabolism and innate immune sensing"
"Cholesterol metabolism with Bloch and Kandutsch Russell pathways"	-Inf	1	"NA"	0	"Cholesterol metabolism with Bloch and Kandutsch Russell pathways"
"Eicosanoid metabolism via cyclooxygenases COX "	-Inf	1	"NA"	0	"Eicosanoid metabolism via cyclooxygenases COX "
"Eicosanoid metabolism via cytochrome P450 monooxygenases pathway"	-Inf	1	"NA"	0	"Eicosanoid metabolism via cytochrome P450 monooxygenases pathway"
"Eicosanoid metabolism via lipooxygenases LOX "	-Inf	1	"NA"	0	"Eicosanoid metabolism via lipooxygenases LOX "
"Glycerolipids and glycerophospholipids"	-Inf	1	"NA"	0	"Glycerolipids and glycerophospholipids"
"Omega 3 omega 6 fatty acid synthesis"	-Inf	1	"NA"	0	"Omega 3 omega 6 fatty acid synthesis"
"Omega 9 fatty acid synthesis"	-Inf	1	"NA"	0	"Omega 9 fatty acid synthesis"
"Sphingolipid metabolism overview"	-Inf	1	"NA"	0	"Sphingolipid metabolism overview"
"Sphingolipid metabolism integrated pathway"	-Inf	1	"NA"	0	"Sphingolipid metabolism integrated pathway"
"Endochondral ossification"	2.7207932977889	0.131088997092509	"3549"	1	"Endochondral ossification"
"Ketogenesis and ketolysis"	-Inf	1	"NA"	0	"Ketogenesis and ketolysis"
"Thyroid hormones production and peripheral downstream signaling effects"	1.85829682153884	0.185448935784022	"364"	1	"Thyroid hormones production and peripheral downstream signaling effects"
"Netrin UNC5B signaling pathway"	-Inf	1	"NA"	0	"Netrin UNC5B signaling pathway"
"HIPK2 in kidney fibrosis"	-Inf	1	"NA"	0	"HIPK2 in kidney fibrosis"
"Base excision repair"	-Inf	1	"NA"	0	"Base excision repair"
"Nucleotide excision repair"	-Inf	1	"NA"	0	"Nucleotide excision repair"
"IL 18 signaling pathway"	-Inf	1	"NA"	0	"IL 18 signaling pathway"
"Renin angiotensin aldosterone system RAAS "	-Inf	1	"NA"	0	"Renin angiotensin aldosterone system RAAS "
"Nephrotic syndrome"	-Inf	1	"NA"	0	"Nephrotic syndrome"
"PKC gamma calcium signaling pathway in ataxia"	-Inf	1	"NA"	0	"PKC gamma calcium signaling pathway in ataxia"
"FGFR3 signaling in chondrocyte proliferation and terminal differentiation"	3.90720642201978	0.0602640227673305	"3549"	1	"FGFR3 signaling in chondrocyte proliferation and terminal differentiation"
"Cytoplasmic ribosomal proteins"	-Inf	1	"NA"	0	"Cytoplasmic ribosomal proteins"
"Proteoglycan biosynthesis"	-Inf	1	"NA"	0	"Proteoglycan biosynthesis"
"Somitogenesis in the context of spondylocostal dysostosis"	-Inf	1	"NA"	0	"Somitogenesis in the context of spondylocostal dysostosis"
"Type I collagen synthesis in the context of osteogenesis imperfecta"	-Inf	1	"NA"	0	"Type I collagen synthesis in the context of osteogenesis imperfecta"
"Osteoblast differentiation and related diseases"	2.52678267782228	0.0283972485450366	"3549;5289"	2	"Osteoblast differentiation and related diseases"
"Autosomal recessive osteopetrosis pathways"	-Inf	1	"NA"	0	"Autosomal recessive osteopetrosis pathways"
"Multiple epiphyseal dysplasia and pseudoachondroplasia genes"	-Inf	1	"NA"	0	"Multiple epiphyseal dysplasia and pseudoachondroplasia genes"
"FGF23 signaling in hypophosphatemic rickets and related disorders"	-Inf	1	"NA"	0	"FGF23 signaling in hypophosphatemic rickets and related disorders"
"Purine metabolism"	-Inf	1	"NA"	0	"Purine metabolism"
"Downregulation of ACE2 by SARS CoV 2 spike protein"	-Inf	1	"NA"	0	"Downregulation of ACE2 by SARS CoV 2 spike protein"
"Ciliopathies"	0.805185485079273	0.344585509403539	"51473"	1	"Ciliopathies"
"Cholesterol biosynthesis with skeletal dysplasias"	-Inf	1	"NA"	0	"Cholesterol biosynthesis with skeletal dysplasias"
"EGFR tyrosine kinase inhibitor resistance"	-Inf	1	"NA"	0	"EGFR tyrosine kinase inhibitor resistance"
"Endochondral ossification with skeletal dysplasias"	2.7207932977889	0.131088997092509	"3549"	1	"Endochondral ossification with skeletal dysplasias"
"Insulin signaling"	1.42533741426273	0.307133235143583	"5289"	1	"Insulin signaling"
"Somatic sex determination"	-Inf	1	"NA"	0	"Somatic sex determination"
"Glycosaminoglycan degradation"	-Inf	1	"NA"	0	"Glycosaminoglycan degradation"
"TGF beta receptor signaling in skeletal dysplasias"	-Inf	1	"NA"	0	"TGF beta receptor signaling in skeletal dysplasias"
"Conversion of angiotensinogen to angiotensin II "	-Inf	1	"NA"	0	"Conversion of angiotensinogen to angiotensin II "
"Genes controlling nephrogenesis"	-Inf	1	"NA"	0	"Genes controlling nephrogenesis"
"mBDNF and proBDNF regulation of GABA neurotransmission"	-Inf	1	"NA"	0	"mBDNF and proBDNF regulation of GABA neurotransmission"
"GDNF RET signaling axis"	-Inf	1	"NA"	0	"GDNF RET signaling axis"
"Regucalcin in proximal tubule epithelial kidney cells"	-Inf	1	"NA"	0	"Regucalcin in proximal tubule epithelial kidney cells"
